year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",136.00,62.00,7.47,1.08,31.85,0.00,21.60,4.00,0.00,6214.00,853.00,24.00,3012.00,0.00,2325.00
2025,12,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",531.00,181.00,48.06,2.00,65.10,0.00,65.84,9.00,3.00,11287.00,3011.00,528.00,3057.00,0.00,4691.00
2025,12,AS,Alaska Airlines Network,EWR,"Newark, NJ: Newark Liberty International",301.00,51.00,14.40,3.54,14.53,0.00,18.52,3.00,0.00,3459.00,1374.00,133.00,1024.00,0.00,928.00
2025,12,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",455.00,167.00,51.43,0.00,65.00,0.63,49.93,19.00,3.00,10641.00,2795.00,0.00,3187.00,12.00,4647.00
2025,12,DL,Delta Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",540.00,197.00,81.21,6.52,72.09,0.00,37.19,31.00,0.00,15416.00,5917.00,2248.00,4342.00,0.00,2909.00
2025,12,F9,Frontier Airlines,EWR,"Newark, NJ: Newark Liberty International",93.00,45.00,12.21,0.24,11.59,0.00,20.96,4.00,0.00,4502.00,1021.00,40.00,1048.00,0.00,2393.00
2025,12,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",71.00,11.00,0.56,1.00,9.44,0.00,0.00,0.00,0.00,1071.00,29.00,21.00,1021.00,0.00,0.00
2025,12,G7,GoJet Airlines LLC d/b/a United Express,EWR,"Newark, NJ: Newark Liberty International",860.00,354.00,48.44,4.46,139.71,0.00,161.38,41.00,1.00,36008.00,5796.00,1412.00,8437.00,0.00,20363.00
2025,12,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",66.00,18.00,1.77,2.70,5.68,0.00,7.85,5.00,0.00,1151.00,69.00,221.00,340.00,0.00,521.00
2025,12,NK,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",790.00,275.00,68.81,0.75,128.32,0.25,76.87,60.00,1.00,21375.00,4818.00,107.00,9605.00,4.00,6841.00
2025,12,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",5999.00,1552.00,358.99,44.59,726.54,0.00,421.87,61.00,5.00,120728.00,23759.00,4176.00,45905.00,0.00,46888.00
2025,12,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1841.00,479.00,86.91,11.52,239.83,0.00,140.74,83.00,2.00,35939.00,6841.00,737.00,14094.00,0.00,14267.00
2025,11,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",135.00,35.00,4.24,0.89,21.17,0.00,8.70,6.00,0.00,2985.00,657.00,33.00,1654.00,0.00,641.00
2025,11,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",517.00,152.00,28.87,3.33,76.94,0.00,42.86,24.00,1.00,10986.00,1982.00,329.00,5170.00,0.00,3505.00
2025,11,AS,Alaska Airlines Network,EWR,"Newark, NJ: Newark Liberty International",284.00,38.00,7.97,3.70,23.39,0.00,2.95,11.00,4.00,4108.00,331.00,270.00,3365.00,0.00,142.00
2025,11,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",455.00,154.00,27.63,0.00,74.94,0.00,51.42,20.00,3.00,14426.00,2131.00,0.00,5637.00,0.00,6658.00
2025,11,DL,Delta Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",564.00,155.00,39.10,1.82,91.75,1.00,21.33,25.00,2.00,12230.00,3686.00,197.00,6861.00,38.00,1448.00
2025,11,F9,Frontier Airlines,EWR,"Newark, NJ: Newark Liberty International",89.00,32.00,7.48,0.44,15.47,0.00,8.61,4.00,0.00,2223.00,518.00,27.00,908.00,0.00,770.00
2025,11,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",55.00,6.00,0.00,0.00,6.00,0.00,0.00,1.00,0.00,1014.00,0.00,0.00,1014.00,0.00,0.00
2025,11,G7,GoJet Airlines LLC d/b/a United Express,EWR,"Newark, NJ: Newark Liberty International",958.00,302.00,36.27,2.82,122.29,0.00,140.62,113.00,0.00,39937.00,4423.00,141.00,11949.00,0.00,23424.00
2025,11,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",59.00,9.00,2.00,0.40,4.31,0.00,2.29,9.00,0.00,653.00,91.00,19.00,371.00,0.00,172.00
2025,11,NK,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",739.00,188.00,27.22,1.85,126.92,0.01,32.00,41.00,1.00,16365.00,1594.00,133.00,11210.00,2.00,3426.00
2025,11,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",5963.00,1528.00,287.87,10.55,859.37,0.00,370.21,177.00,11.00,161301.00,27295.00,1313.00,87569.00,0.00,45124.00
2025,11,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1705.00,313.00,45.15,3.94,196.34,0.00,67.57,146.00,1.00,22484.00,3164.00,454.00,13556.00,0.00,5310.00
2025,10,F9,Frontier Airlines,EWR,"Newark, NJ: Newark Liberty International",93.00,26.00,6.52,0.00,13.28,0.00,6.21,1.00,0.00,1697.00,412.00,0.00,992.00,0.00,293.00
2025,10,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",57.00,4.00,1.88,0.00,2.12,0.00,0.00,0.00,0.00,146.00,98.00,0.00,48.00,0.00,0.00
2025,10,G7,GoJet Airlines LLC d/b/a United Express,EWR,"Newark, NJ: Newark Liberty International",976.00,338.00,32.00,4.80,186.40,0.00,114.80,17.00,1.00,29127.00,2397.00,280.00,14337.00,0.00,12113.00
2025,10,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",62.00,15.00,2.92,0.13,5.96,0.00,5.99,0.00,1.00,761.00,128.00,8.00,283.00,0.00,342.00
2025,10,NK,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",728.00,202.00,30.24,1.19,149.35,0.00,21.22,16.00,0.00,17285.00,3734.00,50.00,11303.00,0.00,2198.00
2025,10,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",90.00,12.00,3.62,0.33,6.54,0.00,1.51,1.00,0.00,404.00,107.00,7.00,250.00,0.00,40.00
2025,10,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",524.00,165.00,35.02,1.86,74.94,0.00,53.18,8.00,0.00,10138.00,1892.00,110.00,4104.00,0.00,4032.00
2025,10,AS,Alaska Airlines Network,EWR,"Newark, NJ: Newark Liberty International",301.00,53.00,11.00,3.75,26.49,0.00,11.76,4.00,0.00,3727.00,449.00,358.00,2066.00,0.00,854.00
2025,10,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",365.00,124.00,18.27,1.86,73.97,0.00,29.91,4.00,2.00,8928.00,1316.00,294.00,4619.00,0.00,2699.00
2025,10,DL,Delta Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",598.00,190.00,45.51,1.00,119.14,0.00,24.35,9.00,2.00,10959.00,3092.00,117.00,6278.00,0.00,1472.00
2025,10,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",5737.00,1610.00,212.42,7.18,1044.83,0.00,345.57,41.00,10.00,125219.00,18254.00,963.00,74103.00,0.00,31899.00
2025,10,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",2117.00,508.00,46.47,3.62,356.44,0.00,101.47,28.00,2.00,33291.00,3761.00,288.00,21355.00,0.00,7887.00
2025,9,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",89.00,9.00,5.31,0.00,2.18,0.00,1.51,0.00,0.00,704.00,542.00,0.00,66.00,0.00,96.00
2025,9,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",461.00,120.00,30.08,6.60,48.72,0.34,34.26,6.00,3.00,8612.00,2213.00,451.00,3404.00,13.00,2531.00
2025,9,AS,Alaska Airlines Network,EWR,"Newark, NJ: Newark Liberty International",292.00,33.00,7.91,0.76,19.98,1.44,2.91,1.00,2.00,1510.00,250.00,61.00,1033.00,41.00,125.00
2025,9,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",328.00,67.00,14.26,0.31,35.43,0.26,16.74,3.00,2.00,5041.00,799.00,52.00,2931.00,6.00,1253.00
2025,9,DL,Delta Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",572.00,109.00,37.45,2.00,60.56,0.00,8.99,0.00,2.00,7866.00,1928.00,99.00,5312.00,0.00,527.00
2025,9,F9,Frontier Airlines,EWR,"Newark, NJ: Newark Liberty International",90.00,19.00,9.41,1.00,4.64,0.00,3.95,0.00,0.00,882.00,351.00,58.00,242.00,0.00,231.00
2025,9,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,9,G7,GoJet Airlines LLC d/b/a United Express,EWR,"Newark, NJ: Newark Liberty International",1013.00,203.00,36.03,2.49,111.23,0.00,53.25,16.00,2.00,23627.00,3790.00,1227.00,10818.00,0.00,7792.00
2025,9,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",60.00,13.00,2.07,0.00,6.87,0.00,4.07,2.00,0.00,740.00,70.00,0.00,314.00,0.00,356.00
2025,9,NK,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",711.00,145.00,25.10,7.24,87.81,0.60,24.25,18.00,3.00,11274.00,1243.00,534.00,7221.00,17.00,2259.00
2025,9,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",5397.00,1012.00,207.56,31.03,533.80,0.00,239.62,38.00,39.00,90516.00,16010.00,4127.00,46052.00,0.00,24327.00
2025,9,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1993.00,328.00,54.31,12.09,205.97,0.00,55.64,45.00,8.00,27299.00,3384.00,1668.00,17223.00,0.00,5024.00
2025,8,G7,GoJet Airlines LLC d/b/a United Express,EWR,"Newark, NJ: Newark Liberty International",1046.00,343.00,54.22,6.33,192.65,0.00,89.79,30.00,5.00,40654.00,6594.00,1941.00,18638.00,0.00,13481.00
2025,8,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",63.00,9.00,1.62,1.01,4.53,0.00,1.85,0.00,0.00,802.00,126.00,136.00,446.00,0.00,94.00
2025,8,NK,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",768.00,205.00,25.97,1.95,151.59,0.00,25.49,10.00,1.00,17091.00,1768.00,179.00,12933.00,0.00,2211.00
2025,8,UA,United Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",5517.00,1590.00,295.63,63.59,890.24,0.00,340.54,66.00,12.00,143382.00,28035.00,6309.00,70571.00,0.00,38467.00
2025,8,YX,Republic Airline,EWR,"Newark, NJ: Newark Liberty International",1980.00,496.00,70.48,15.11,337.81,0.00,72.60,40.00,4.00,41846.00,6560.00,2038.00,25289.00,0.00,7959.00
2025,8,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",87.00,19.00,7.11,0.00,10.25,0.00,1.64,0.00,0.00,1161.00,606.00,0.00,421.00,0.00,134.00
2025,8,AA,American Airlines Network,EWR,"Newark, NJ: Newark Liberty International",513.00,199.00,39.63,8.58,66.50,0.22,84.07,9.00,3.00,15802.00,2528.00,1034.00,5140.00,15.00,7085.00
2025,8,AS,Alaska Airlines Network,EWR,"Newark, NJ: Newark Liberty International",291.00,73.00,16.46,6.56,32.30,0.00,17.68,3.00,0.00,4275.00,1003.00,451.00,2056.00,0.00,765.00
2025,8,B6,JetBlue Airways,EWR,"Newark, NJ: Newark Liberty International",514.00,172.00,27.98,7.53,85.96,0.00,50.52,5.00,2.00,15350.00,2658.00,630.00,6025.00,0.00,6037.00
2025,8,DL,Delta Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",598.00,176.00,49.72,5.16,100.14,0.00,20.99,4.00,4.00,12277.00,3337.00,423.00,7223.00,0.00,1294.00
2025,8,F9,Frontier Airlines,EWR,"Newark, NJ: Newark Liberty International",93.00,39.00,12.11,0.00,11.67,0.00,15.22,1.00,0.00,2374.00,584.00,0.00,692.00,0.00,1098.00
2025,8,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",73.00,6.00,2.78,1.00,2.22,0.00,0.00,0.00,0.00,918.00,815.00,19.00,84.00,0.00,0.00
