airport,arr_flights,arr_del15,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,weather_adjusted,weather_ct_adjusted,delay_rate,avg_delay_per_flight,avg_delay_if_delayed,weather_share_raw,weather_share_adjusted,weather_per_flight_raw,weather_per_flight_adjusted,weather_prob_adjusted,weather_severity_adjusted,weather_score,dominant_cause_minutes,dominant_cause_counts,iata_code,name,type,municipality,latitude_deg,longitude_deg
ABE,24187.0,4765.0,355134.0,115695.0,41064.0,45818.0,717.0,151840.0,1524.52,370.36,1016.93,13.06,1840.19,62048.644,836.1139400000001,0.19700665646835078,14.682846157026502,74.52969569779643,0.11562959333659971,0.174718962419819,1.6977715301608303,2.5653716459254974,0.03456873279034192,74.21075170687861,0.4536035725039903,late_aircraft_delay,late_aircraft_ct,ABE,Lehigh Valley International Airport,medium_airport,Allentown/Bethlehem,40.651773,-75.442797
ABI,9027.0,1566.0,94893.0,26774.0,12512.0,16784.0,154.0,38669.0,449.13,121.38,400.23,4.25,591.09,20199.072,304.68534,0.17347956131605186,10.51213027583915,60.59578544061303,0.13185377214336147,0.21286155986216054,1.3860640301318268,2.237628447989365,0.03375266866068461,66.29486013340845,0.2649456914573988,late_aircraft_delay,late_aircraft_ct,ABI,Abilene Regional Airport,medium_airport,Abilene,32.4113006592,-99.6819000244
ABQ,112597.0,23701.0,1348314.0,524923.0,58047.0,142329.0,1572.0,621443.0,9510.39,748.41,3581.74,42.77,9817.7,123233.682,2388.84692,0.21049406289688002,11.974688490812365,56.8884857179022,0.043051544373194965,0.09139835527925988,0.5155288329173957,1.0944668330417329,0.021215902022256365,51.58709876646261,-0.8987122087201046,late_aircraft_delay,late_aircraft_ct,ABQ,Albuquerque International Sunport,large_airport,Albuquerque,35.039976,-106.608925
ABR,3611.0,426.0,40314.0,27001.0,12121.0,1192.0,0.0,0.0,303.85,102.91,19.25,0.0,0.0,12666.936,111.7265,0.11797286070340626,11.164220437551924,94.63380281690141,0.30066478146549586,0.31420687602321773,3.356687898089172,3.5078748269177513,0.030940598172251456,113.37449933543071,0.6843746692614096,carrier_delay,carrier_ct,ABR,Aberdeen Regional Airport,medium_airport,Aberdeen,45.449100494384766,-98.42179870605467
ABY,4530.0,671.0,57017.0,37087.0,9333.0,5769.0,0.0,4828.0,399.17,85.74,108.28,0.0,77.79,11975.202,135.33224,0.14812362030905077,12.58653421633554,84.97317436661699,0.16368802287037199,0.21002862304225053,2.0602649006622515,2.6435324503311257,0.02987466666666667,88.4874291595262,0.24351343155372995,carrier_delay,carrier_ct,ABY,Southwest Georgia Regional Airport,medium_airport,Albany,31.532946,-84.196215
ACK,9809.0,1847.0,142844.0,48760.0,20742.0,23925.0,14.0,49403.0,671.23,165.54,492.67,0.52,516.98,31699.65,391.18286,0.18829646243245998,14.562544601896217,77.3383865728208,0.14520735907703508,0.22191796645291367,2.114588643082883,3.231690284432664,0.03987999388316852,81.03537562969912,1.0277170845046975,late_aircraft_delay,carrier_ct,ACK,Nantucket Memorial Airport,medium_airport,Nantucket,41.25310135,-70.06020355
ACT,6475.0,1030.0,65453.0,25161.0,10925.0,7363.0,251.0,21753.0,436.41,109.97,153.19,4.32,326.1,14297.254,180.13102,0.15907335907335907,10.108571428571429,63.546601941747575,0.16691366323927093,0.21843542694758072,1.6872586872586872,2.208070115830116,0.02781946254826255,79.37141531758384,-0.05781140769606104,carrier_delay,carrier_ct,ACT,Waco Regional Airport,medium_airport,Waco,31.611299514770508,-97.23049926757812
ACV,8909.0,1554.0,127913.0,46614.0,34326.0,15394.0,5.0,31574.0,816.69,132.03,216.12,0.31,388.85,41376.452,231.01296,0.1744303513301156,14.357728140083061,82.31209781209782,0.2683542720442801,0.32347339207117337,3.852957683241666,4.644343023908407,0.025930290717252218,179.1087911258312,0.9294782506824744,carrier_delay,carrier_ct,ACV,California Redwood Coast-Humboldt County Airport,medium_airport,Arcata/Eureka,40.978101,-124.109
ACY,14977.0,3123.0,217041.0,61351.0,11160.0,71729.0,2598.0,70203.0,949.77,150.29,1131.65,63.61,827.67,44011.882000000005,668.5857,0.20851973025305467,14.491620484743272,69.49759846301633,0.05141885634511452,0.20278141917886486,0.7451425519129332,2.93863136809775,0.044640829271549706,65.82833285246754,1.1455096108156484,nas_delay,nas_ct,ACY,Atlantic City International Airport,medium_airport,Atlantic City,39.456201,-74.577511
ADK,513.0,70.0,3793.0,1788.0,176.0,820.0,14.0,995.0,21.71,3.55,25.09,0.25,19.41,551.5600000000001,15.041220000000001,0.1364522417153996,7.393762183235867,54.18571428571428,0.04640126548905879,0.1454152385974163,0.34307992202729043,1.0751656920077974,0.029320116959064328,36.66989778754649,-0.48445322580583955,carrier_delay,nas_ct,ADK,Adak Airport,medium_airport,Adak,51.883564,-176.642783
ADQ,4273.0,593.0,32489.0,10156.0,3294.0,4122.0,0.0,14917.0,177.95,50.32,114.36,0.0,250.35,5181.876,102.69688000000001,0.1387783758483501,7.603323192136672,54.78752107925801,0.10138816214718828,0.15949632183200468,0.77088696466183,1.2127020828457757,0.024033905920898668,50.45796912233361,-0.6989762078817006,late_aircraft_delay,late_aircraft_ct,ADQ,Kodiak Airport,medium_airport,Kodiak,57.75,-152.4940033
AEX,11113.0,1688.0,120829.0,51211.0,21502.0,15407.0,618.0,32091.0,747.12,178.68,368.23,5.78,388.25,28558.406,347.32934,0.15189417798974175,10.872761630522811,71.58116113744076,0.1779539680043698,0.2363539051055624,1.9348510753171961,2.5698196706559884,0.031254327364348064,82.22284359852813,0.28264708039196895,carrier_delay,carrier_ct,AEX,Alexandria International Airport,medium_airport,Alexandria,31.325828,-92.546702
