airport,season,arr_flights,arr_delay,weather_adjusted,weather_share_adjusted,iata_code,name,type,municipality,latitude_deg,longitude_deg
ABE,Fall,5995.0,69604.0,7798.49,0.1120408309867249,ABE,Lehigh Valley International Airport,medium_airport,Allentown/Bethlehem,40.651773,-75.442797
ABE,Spring,6327.0,79515.0,14784.798,0.18593721939256744,ABE,Lehigh Valley International Airport,medium_airport,Allentown/Bethlehem,40.651773,-75.442797
ABE,Summer,6767.0,140638.0,29474.992000000002,0.209580568551885,ABE,Lehigh Valley International Airport,medium_airport,Allentown/Bethlehem,40.651773,-75.442797
ABE,Winter,5098.0,65377.0,9990.364,0.15281160040993008,ABE,Lehigh Valley International Airport,medium_airport,Allentown/Bethlehem,40.651773,-75.442797
ABI,Fall,2335.0,17255.0,2805.2920000000004,0.16257849898580123,ABI,Abilene Regional Airport,medium_airport,Abilene,32.4113006592,-99.6819000244
ABI,Spring,2242.0,29532.0,7799.838,0.2641147907354734,ABI,Abilene Regional Airport,medium_airport,Abilene,32.4113006592,-99.6819000244
ABI,Summer,2529.0,32883.0,5124.468,0.15583943070887693,ABI,Abilene Regional Airport,medium_airport,Abilene,32.4113006592,-99.6819000244
ABI,Winter,1921.0,15223.0,4469.474,0.2936000788280891,ABI,Abilene Regional Airport,medium_airport,Abilene,32.4113006592,-99.6819000244
ABQ,Fall,31215.0,276471.0,27297.954,0.0987371333702269,ABQ,Albuquerque International Sunport,large_airport,Albuquerque,35.039976,-106.608925
ABQ,Spring,27655.0,315823.0,28886.16,0.09146312966440064,ABQ,Albuquerque International Sunport,large_airport,Albuquerque,35.039976,-106.608925
ABQ,Summer,30577.0,509379.0,39657.72,0.07785503524880295,ABQ,Albuquerque International Sunport,large_airport,Albuquerque,35.039976,-106.608925
ABQ,Winter,23150.0,246641.0,27391.848,0.11105958863287127,ABQ,Albuquerque International Sunport,large_airport,Albuquerque,35.039976,-106.608925
ABR,Fall,955.0,7148.0,1469.73,0.2056141578063794,ABR,Aberdeen Regional Airport,medium_airport,Aberdeen,45.449100494384766,-98.42179870605467
ABR,Spring,920.0,6774.0,1863.7,0.27512547977561264,ABR,Aberdeen Regional Airport,medium_airport,Aberdeen,45.449100494384766,-98.42179870605467
ABR,Summer,920.0,9577.0,1893.076,0.1976689986425812,ABR,Aberdeen Regional Airport,medium_airport,Aberdeen,45.449100494384766,-98.42179870605467
ABR,Winter,816.0,16815.0,7440.43,0.44248765982753496,ABR,Aberdeen Regional Airport,medium_airport,Aberdeen,45.449100494384766,-98.42179870605467
ABY,Fall,1155.0,8036.0,628.12,0.07816326530612246,ABY,Southwest Georgia Regional Airport,medium_airport,Albany,31.532946,-84.196215
ABY,Spring,1201.0,12704.0,3176.208,0.2500163727959698,ABY,Southwest Georgia Regional Airport,medium_airport,Albany,31.532946,-84.196215
ABY,Summer,1151.0,24472.0,5532.482,0.22607396207911082,ABY,Southwest Georgia Regional Airport,medium_airport,Albany,31.532946,-84.196215
ABY,Winter,1023.0,11805.0,2638.392,0.22349783989834815,ABY,Southwest Georgia Regional Airport,medium_airport,Albany,31.532946,-84.196215
ACK,Fall,1887.0,23128.0,4621.4619999999995,0.19982108267035625,ACK,Nantucket Memorial Airport,medium_airport,Nantucket,41.25310135,-70.06020355
ACK,Spring,517.0,6422.0,1701.574,0.2649601370289629,ACK,Nantucket Memorial Airport,medium_airport,Nantucket,41.25310135,-70.06020355
ACK,Summer,7403.0,113294.0,25376.614,0.22398903737179376,ACK,Nantucket Memorial Airport,medium_airport,Nantucket,41.25310135,-70.06020355
ACK,Winter,2.0,0.0,0.0,0.0,ACK,Nantucket Memorial Airport,medium_airport,Nantucket,41.25310135,-70.06020355
ACT,Fall,1644.0,14761.0,2270.982,0.15385014565408847,ACT,Waco Regional Airport,medium_airport,Waco,31.611299514770508,-97.23049926757812
ACT,Spring,1679.0,15812.0,4107.8460000000005,0.25979294206931447,ACT,Waco Regional Airport,medium_airport,Waco,31.611299514770508,-97.23049926757812
ACT,Summer,1706.0,21210.0,4206.736,0.19833738802451673,ACT,Waco Regional Airport,medium_airport,Waco,31.611299514770508,-97.23049926757812
ACT,Winter,1446.0,13670.0,3711.69,0.27152084857351866,ACT,Waco Regional Airport,medium_airport,Waco,31.611299514770508,-97.23049926757812
ACV,Fall,2507.0,44557.0,21756.440000000002,0.48828332248580475,ACV,California Redwood Coast-Humboldt County Airport,medium_airport,Arcata/Eureka,40.978101,-124.109
ACV,Spring,2050.0,18767.0,2791.822,0.1487622955187297,ACV,California Redwood Coast-Humboldt County Airport,medium_airport,Arcata/Eureka,40.978101,-124.109
ACV,Summer,2383.0,35033.0,8610.752,0.2457897411012474,ACV,California Redwood Coast-Humboldt County Airport,medium_airport,Arcata/Eureka,40.978101,-124.109
ACV,Winter,1969.0,29556.0,8217.438,0.27802943564758426,ACV,California Redwood Coast-Humboldt County Airport,medium_airport,Arcata/Eureka,40.978101,-124.109
ACY,Fall,3697.0,37724.0,6235.642,0.16529641607464743,ACY,Atlantic City International Airport,medium_airport,Atlantic City,39.456201,-74.577511
ACY,Spring,4041.0,66814.0,13853.14,0.20733888107282905,ACY,Atlantic City International Airport,medium_airport,Atlantic City,39.456201,-74.577511
ACY,Summer,4103.0,72626.0,17724.496,0.2440516619392504,ACY,Atlantic City International Airport,medium_airport,Atlantic City,39.456201,-74.577511
ACY,Winter,3136.0,39877.0,6198.604,0.1554430874940442,ACY,Atlantic City International Airport,medium_airport,Atlantic City,39.456201,-74.577511
ADK,Fall,130.0,1091.0,38.472,0.035263061411549036,ADK,Adak Airport,medium_airport,Adak,51.883564,-176.642783
ADK,Spring,132.0,974.0,248.272,0.25489938398357287,ADK,Adak Airport,medium_airport,Adak,51.883564,-176.642783
ADK,Summer,132.0,892.0,54.502,0.06110089686098655,ADK,Adak Airport,medium_airport,Adak,51.883564,-176.642783
ADK,Winter,119.0,836.0,210.31400000000002,0.2515717703349283,ADK,Adak Airport,medium_airport,Adak,51.883564,-176.642783
ADQ,Fall,1079.0,7171.0,1023.572,0.14273769348765863,ADQ,Kodiak Airport,medium_airport,Kodiak,57.75,-152.4940033
ADQ,Spring,1038.0,6114.0,864.648,0.14142100098135427,ADQ,Kodiak Airport,medium_airport,Kodiak,57.75,-152.4940033
ADQ,Summer,1376.0,9809.0,1773.116,0.18076419614639616,ADQ,Kodiak Airport,medium_airport,Kodiak,57.75,-152.4940033
ADQ,Winter,780.0,9395.0,1520.54,0.16184566258648217,ADQ,Kodiak Airport,medium_airport,Kodiak,57.75,-152.4940033
AEX,Fall,2638.0,23711.0,3604.634,0.15202370207920374,AEX,Alexandria International Airport,medium_airport,Alexandria,31.325828,-92.546702
AEX,Spring,3043.0,31341.0,9355.786,0.29851587377556554,AEX,Alexandria International Airport,medium_airport,Alexandria,31.325828,-92.546702
AEX,Summer,2821.0,39575.0,6982.032,0.17642531901452937,AEX,Alexandria International Airport,medium_airport,Alexandria,31.325828,-92.546702
AEX,Winter,2611.0,26202.0,8615.954,0.32882810472483015,AEX,Alexandria International Airport,medium_airport,Alexandria,31.325828,-92.546702
AGS,Fall,6109.0,72508.0,20749.084000000003,0.2861626854967728,AGS,Augusta Regional At Bush Field,medium_airport,Augusta,33.3699,-81.9645
AGS,Spring,6701.0,80313.0,17217.76,0.21438322562972367,AGS,Augusta Regional At Bush Field,medium_airport,Augusta,33.3699,-81.9645
AGS,Summer,6282.0,97460.0,19116.666,0.19614884054996923,AGS,Augusta Regional At Bush Field,medium_airport,Augusta,33.3699,-81.9645
AGS,Winter,5097.0,63856.0,17265.736,0.27038549235780507,AGS,Augusta Regional At Bush Field,medium_airport,Augusta,33.3699,-81.9645
AKN,Fall,554.0,3933.0,346.75800000000004,0.08816628527841343,AKN,King Salmon Airport,medium_airport,King Salmon,58.677845,-156.651965
AKN,Spring,514.0,3082.0,508.884,0.16511486048020765,AKN,King Salmon Airport,medium_airport,King Salmon,58.677845,-156.651965
AKN,Summer,997.0,6639.0,748.052,0.11267540292212683,AKN,King Salmon Airport,medium_airport,King Salmon,58.677845,-156.651965
AKN,Winter,349.0,4619.0,822.652,0.17810175362632605,AKN,King Salmon Airport,medium_airport,King Salmon,58.677845,-156.651965
ALB,Fall,19090.0,198716.0,21474.362,0.1080655910948288,ALB,Albany International Airport,large_airport,Albany,42.748299,-73.801697
ALB,Spring,18337.0,260840.0,30652.448,0.11751436896181568,ALB,Albany International Airport,large_airport,Albany,42.748299,-73.801697
ALB,Summer,19926.0,418205.0,60255.318,0.14408081682428475,ALB,Albany International Airport,large_airport,Albany,42.748299,-73.801697
ALB,Winter,15356.0,244982.0,38406.414000000004,0.15677239144100386,ALB,Albany International Airport,large_airport,Albany,42.748299,-73.801697
ALO,Fall,830.0,5022.0,635.6320000000001,0.12656949422540822,ALO,Waterloo Regional Airport,medium_airport,Waterloo,42.557098388671875,-92.40029907226562
ALO,Spring,788.0,12423.0,1705.086,0.13725235450374307,ALO,Waterloo Regional Airport,medium_airport,Waterloo,42.557098388671875,-92.40029907226562
ALO,Summer,867.0,12371.0,1969.036,0.15916546762589928,ALO,Waterloo Regional Airport,medium_airport,Waterloo,42.557098388671875,-92.40029907226562
ALO,Winter,744.0,9972.0,2456.882,0.24637805856397915,ALO,Waterloo Regional Airport,medium_airport,Waterloo,42.557098388671875,-92.40029907226562
ALS,Fall,156.0,3397.0,0.0,0.0,ALS,San Luis Valley Regional Airport/Bergman Field,medium_airport,Alamosa,37.434898,-105.866997
ALS,Spring,306.0,2409.0,68.0,0.028227480282274803,ALS,San Luis Valley Regional Airport/Bergman Field,medium_airport,Alamosa,37.434898,-105.866997
ALS,Summer,169.0,6167.0,341.15999999999997,0.055320252959299494,ALS,San Luis Valley Regional Airport/Bergman Field,medium_airport,Alamosa,37.434898,-105.866997
ALS,Winter,255.0,3256.0,105.0,0.03224815724815725,ALS,San Luis Valley Regional Airport/Bergman Field,medium_airport,Alamosa,37.434898,-105.866997
ALW,Fall,816.0,3726.0,594.108,0.15944927536231882,ALW,Walla Walla Regional Airport,medium_airport,Walla Walla,46.09489822,-118.288002
ALW,Spring,838.0,2807.0,258.08000000000004,0.09194157463484148,ALW,Walla Walla Regional Airport,medium_airport,Walla Walla,46.09489822,-118.288002
ALW,Summer,842.0,6777.0,560.636,0.08272628006492548,ALW,Walla Walla Regional Airport,medium_airport,Walla Walla,46.09489822,-118.288002
ALW,Winter,748.0,6125.0,1254.89,0.20488,ALW,Walla Walla Regional Airport,medium_airport,Walla Walla,46.09489822,-118.288002
AMA,Fall,7253.0,73760.0,7197.896,0.09758535791757049,AMA,Rick Husband Amarillo International Airport,medium_airport,Amarillo,35.217857,-101.706444
AMA,Spring,6710.0,102888.0,14698.766000000001,0.1428618109011741,AMA,Rick Husband Amarillo International Airport,medium_airport,Amarillo,35.217857,-101.706444
AMA,Summer,7472.0,137452.0,16112.276,0.11722110991473388,AMA,Rick Husband Amarillo International Airport,medium_airport,Amarillo,35.217857,-101.706444
AMA,Winter,5810.0,73976.0,7767.354,0.10499829674489024,AMA,Rick Husband Amarillo International Airport,medium_airport,Amarillo,35.217857,-101.706444
ANC,Fall,24943.0,210391.0,28147.182,0.13378510487615916,ANC,Ted Stevens Anchorage International Airport,large_airport,Anchorage,61.179004,-149.992561
ANC,Spring,24374.0,210757.0,25719.578,0.12203427644158914,ANC,Ted Stevens Anchorage International Airport,large_airport,Anchorage,61.179004,-149.992561
ANC,Summer,36262.0,387589.0,49684.438,0.1281884625208662,ANC,Ted Stevens Anchorage International Airport,large_airport,Anchorage,61.179004,-149.992561
ANC,Winter,19330.0,279218.0,50622.416000000005,0.18130068978360997,ANC,Ted Stevens Anchorage International Airport,large_airport,Anchorage,61.179004,-149.992561
APN,Fall,788.0,8027.0,1362.628,0.16975557493459573,APN,Alpena County Regional Airport,medium_airport,Alpena,45.0780983,-83.56030273
APN,Spring,748.0,6779.0,2530.806,0.37333028470275853,APN,Alpena County Regional Airport,medium_airport,Alpena,45.0780983,-83.56030273
APN,Summer,657.0,10200.0,1136.886,0.11145941176470588,APN,Alpena County Regional Airport,medium_airport,Alpena,45.0780983,-83.56030273
APN,Winter,714.0,14595.0,4007.8559999999998,0.27460472764645427,APN,Alpena County Regional Airport,medium_airport,Alpena,45.0780983,-83.56030273
ART,Fall,844.0,4052.0,715.534,0.17658785784797632,ART,Watertown International Airport,medium_airport,Watertown,43.991901,-76.021698
ART,Spring,831.0,9675.0,3945.208,0.4077734366925065,ART,Watertown International Airport,medium_airport,Watertown,43.991901,-76.021698
ART,Summer,892.0,12729.0,3704.542,0.2910316599890015,ART,Watertown International Airport,medium_airport,Watertown,43.991901,-76.021698
ART,Winter,760.0,18499.0,10024.346,0.5418858316665766,ART,Watertown International Airport,medium_airport,Watertown,43.991901,-76.021698
ASE,Fall,5732.0,83526.0,18365.996,0.21988358116035725,ASE,Aspen-Pitkin County Airport (Sardy Field),medium_airport,Aspen,39.223202,-106.869003
ASE,Spring,7157.0,142114.0,33760.382,0.23755845307288515,ASE,Aspen-Pitkin County Airport (Sardy Field),medium_airport,Aspen,39.223202,-106.869003
ASE,Summer,9496.0,230802.0,37274.932,0.16150177208169775,ASE,Aspen-Pitkin County Airport (Sardy Field),medium_airport,Aspen,39.223202,-106.869003
ASE,Winter,11341.0,338300.0,85394.778,0.25242322790422705,ASE,Aspen-Pitkin County Airport (Sardy Field),medium_airport,Aspen,39.223202,-106.869003
ATL,Fall,419486.0,3341098.0,366705.356,0.10975594131031177,ATL,Hartsfield Jackson Atlanta International Airport,large_airport,Atlanta,33.6367,-84.428101
ATL,Spring,420593.0,5035844.0,632678.7540000001,0.12563509791010208,ATL,Hartsfield Jackson Atlanta International Airport,large_airport,Atlanta,33.6367,-84.428101
ATL,Summer,434864.0,7008597.0,935876.884,0.13353270048199375,ATL,Hartsfield Jackson Atlanta International Airport,large_airport,Atlanta,33.6367,-84.428101
ATL,Winter,355648.0,4033148.0,603018.154,0.1495155035223106,ATL,Hartsfield Jackson Atlanta International Airport,large_airport,Atlanta,33.6367,-84.428101
ATW,Fall,8948.0,117916.0,14806.576000000001,0.12556884561891518,ATW,Appleton International Airport,medium_airport,Appleton,44.258515,-88.519
ATW,Spring,9180.0,131104.0,26636.346,0.20316959055406397,ATW,Appleton International Airport,medium_airport,Appleton,44.258515,-88.519
ATW,Summer,9204.0,181940.0,30853.842,0.16958251071781907,ATW,Appleton International Airport,medium_airport,Appleton,44.258515,-88.519
ATW,Winter,7591.0,156107.0,34852.752,0.22326194212943687,ATW,Appleton International Airport,medium_airport,Appleton,44.258515,-88.519
ATY,Fall,347.0,5764.0,899.678,0.15608570437196392,ATY,Watertown Regional Airport,medium_airport,Watertown,44.91400146,-97.15470123
ATY,Spring,158.0,566.0,76.0,0.13427561837455831,ATY,Watertown Regional Airport,medium_airport,Watertown,44.91400146,-97.15470123
ATY,Summer,219.0,2987.0,34.038,0.011395379979912955,ATY,Watertown Regional Airport,medium_airport,Watertown,44.91400146,-97.15470123
ATY,Winter,134.0,1005.0,17.0,0.01691542288557214,ATY,Watertown Regional Airport,medium_airport,Watertown,44.91400146,-97.15470123
AUS,Fall,110093.0,1120867.0,132776.98,0.11845917490656788,AUS,Austin Bergstrom International Airport,large_airport,Austin,30.197535,-97.662015
AUS,Spring,103899.0,1420761.0,204565.43600000002,0.1439830034748983,AUS,Austin Bergstrom International Airport,large_airport,Austin,30.197535,-97.662015
AUS,Summer,110699.0,1922372.0,247290.69400000002,0.128638314540578,AUS,Austin Bergstrom International Airport,large_airport,Austin,30.197535,-97.662015
AUS,Winter,86361.0,1046159.0,133902.342,0.12799425517536053,AUS,Austin Bergstrom International Airport,large_airport,Austin,30.197535,-97.662015
AVL,Fall,15909.0,190442.0,38827.036,0.20387853519706786,AVL,Asheville Regional Airport,medium_airport,Asheville,35.435488,-82.541853
AVL,Spring,13827.0,201740.0,33698.674,0.16704012094775453,AVL,Asheville Regional Airport,medium_airport,Asheville,35.435488,-82.541853
AVL,Summer,17929.0,367866.0,72711.034,0.19765630419772418,AVL,Asheville Regional Airport,medium_airport,Asheville,35.435488,-82.541853
AVL,Winter,10475.0,121648.0,15264.624,0.1254819150335394,AVL,Asheville Regional Airport,medium_airport,Asheville,35.435488,-82.541853
